complex_id,ligand_id,coord_mode,E_complex_gas_Eh,E_ligand_gas_Eh,E_cu_gas_Eh,BE_gas_kcal_mol,E_complex_smd_Eh,E_ligand_smd_Eh,E_cu_smd_Eh,BE_smd_kcal_mol,n_imaginary,normal_termination,notes
cu_benzene_pi,benzene,pi,-1872.4236474102,-232.202290813244,-1640.134600256611,-54.44,-1872.518170078107,-232.203520456474,-1640.276595129771,-23.88,2,True,primary
cu_anisole_pi,anisole,pi,-1986.950126134658,-346.719674972887,-1640.134600256611,-60.15,-1987.042745057443,-346.722414271535,-1640.276595129771,-27.44,0,True,primary
cu_anisole_methoxyO,anisole,methoxyO,-1986.932016609288,-346.719674972887,-1640.134600256611,-48.78,-1987.031747685019,-346.722414271535,-1640.276595129771,-20.54,0,True,primary
cu_catechol_pi,catechol,pi,-2022.887370861674,-382.657500932119,-1640.134600256611,-59.78,-2022.990985522653,-382.669645863505,-1640.276595129771,-28.08,0,True,primary
cu_catechol_bidentate,catechol,bidentate,-2022.845350963277,-382.657500932119,-1640.134600256611,-33.41,-2022.971157057666,-382.669645863505,-1640.276595129771,-15.64,2,True,primary
cu_cyclohexanol_O,cyclohexanol,O-mono,-1951.268681295893,-311.041444019796,-1640.134600256611,-58.13,-1951.368932170903,-311.048927559698,-1640.276595129771,-27.2399,0,True,primary
cu_meta_methoxyphenol_pi,meta_methoxyphenol,pi,-2062.181939248162,-421.946681656249,-1640.134600256611,-63.16,-2062.277620930488,-421.957157857914,-1640.276595129771,-27.53,0,True,primary
cu_meta_methoxyphenol_phenolicO,meta_methoxyphenol,phenolicO,-2062.100968129885,-421.946681656249,-1640.134600256611,-12.35,-2062.225189413215,-421.957157857914,-1640.276595129771,5.37,4,True,primary
cu_para_methoxyphenol_pi,para_methoxyphenol,pi,-2062.171498453095,-421.944151122207,-1640.134600256611,-58.2,-2062.272834140743,-421.954290540616,-1640.276595129771,-26.32,0,True,primary
cu_para_methoxyphenol_phenolicO,para_methoxyphenol,phenolicO,-2062.157861290545,-421.944151122207,-1640.134600256611,-49.64,-2062.261677140382,-421.954290540616,-1640.276595129771,-19.32,0,True,primary
