job_id,mol_id,cluster,ligand,charge,mult,job_type,route_line,nprocs,maxcore,normal_termination,n_imag,min_freq_cm1,E_gas_Eh,E_smd_Eh,orca_version,n_opt_cycles,inp_sha256,out_sha256,out_path,timestamp_utc
h2o_opt_freq,h2o,,h2o,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,8,4000,True,0,0.0,-76.426631457256,,6.1.1,4,43687e9304fe45e29ac9bc69249bfa1f8f63cc2fbb0cf4f2190a47bc942d9fe4,3d41de481fe0ce764dd03f91e5d6852da84a7dab128ae00646cf32c7ad653580,/workspace/results_setA/h2o_opt_freq.out,2026-04-27T19:12:41Z
h2o_smd_sp,h2o,,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,8,4000,True,0,,-76.426631457256,-76.439616921394,6.1.1,0,d04d2d8c4c28e2b27ce3b8686b636afd455545aa3ea23137941055f6c7527735,e3e79f6a6544350e3982e0ac7f4e81677a723b7f92a51f0b0dc15934dbdda384,/workspace/results_setA/h2o_smd_sp.out,2026-04-27T19:12:46Z
cui_h2o_opt_freq,cui_h2o,CuI,h2o,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,8,4000,True,0,0.0,-2014.682195474239,,6.1.1,30,1c77884d9330f3616562f213986ed9d429508a90f990ea5c046b0367fe2aef4a,f9ba8a6e9c35c13af91a3fac9ec1e296d3ac2c17cb71105194e8077295a11349,/workspace/results_setA/cui_h2o_reopt1_opt_freq.out,2026-04-27T19:23:18Z
cui_h2o_smd_sp,cui_h2o,CuI,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,8,4000,True,0,,-2014.682195474239,-2014.710479879122,6.1.1,0,25f291f8f089b4e958ee16b02ec0c5f549c2804f8b768606979733c29f6531bb,0f0892919b835484f384d3856070da858f12ddebb2146f88f8e5bda13266825e,/workspace/results_setA/cui_h2o_smd_sp.out,2026-04-27T19:23:32Z
cui2_anion_opt_freq,cui2_anion,CuI2-,,-1,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,16,4500,True,0,0.0,-2236.113332245742,,6.1.1,5,fd094377b94a821873f8efec8fc0f0879e7b44e62c0ba5bb6b0b795f84055f55,bc20987add734253ac7a2c512493e646bd8a2d14bfc26e49da09ed9be91813c7,/workspace/results_setA/cui2_anion_opt_freq.out,2026-04-27T19:25:34Z
cui2_anion_smd_sp,cui2_anion,CuI2-,,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-2236.113332245742,-2236.178758935388,6.1.1,0,f68c650c8ae35a38edc50d0068eac31caf957fc689001fd2cddc28c2d03b7acf,9f3d86bee0bcdcd7ae10315e4bf758a6a77296c779c21264a4deb7eb76153afc,/workspace/results_setA/cui2_anion_smd_sp.out,2026-04-27T19:25:50Z
cui2_h2o_anion_smd_sp,cui2_h2o_anion,CuI2-,h2o,-1,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,16,4500,True,0,,-2312.556585221692,-2312.625087463535,6.1.1,0,81784071806fd0690c47259586ce52fc36d0c8e5132926605dba44505d7ded52,6c9af1de9307a89bbc02dc829313fe0373b7cb5525f9860150aacde849418656,/workspace/results_setA/cui2_h2o_anion_smd_sp.out,2026-04-27T19:37:47Z
cu2i2_rhombic_opt_freq,cu2i2_rhombic,Cu2I2,,0,1,opt_freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,24,4500,True,0,0.0,-3876.514404125674,,6.1.1,10,0c19159da987ba82d8e79c966afe38394cf140b131d587f2eed06127734fc77a,87472654d5c10b8043ca21d6a45451e859ff4cd702d3b86e7b044a50196c1a8e,/workspace/results_setA/cu2i2_rhombic_opt_freq.out,2026-04-27T19:43:19Z
cu2i2_rhombic_smd_sp,cu2i2_rhombic,Cu2I2,,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,4500,True,0,,-3876.514404125674,-3876.522610450172,6.1.1,0,7d9fd5f6b480a50aa4f090d07ad7c9b3980f41cc61fec07b8cc4428b7dd1641a,bd0c3bcd91c025a1ff6ca53ec4068ee7ed4e459d6d9e5095fa73f5a2317914b3,/workspace/results_setA/cu2i2_rhombic_smd_sp.out,2026-04-27T19:43:45Z
cu2i2_h2o_smd_sp,cu2i2_h2o,Cu2I2,h2o,0,1,smd_sp,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,24,4500,True,0,,-3952.972105730836,-3952.988815414994,6.1.1,0,b8fce2ad5023ceea2aef325248b0c90ebd80aab086eb44d6b9b3b9d06bff31f9,55af211ce3e065de3b45d8f3f410d25faa3ed4f6c5269e5f00572680354a3093,/workspace/results_setA/cu2i2_h2o_smd_sp.out,2026-04-27T20:27:34Z
