job_id,mol_id,job_type,orca_version,route_line,charge,mult,inp_path,inp_sha256,out_path,out_sha256,xyz_path,xyz_sha256,gbw_path,hess_path,normal_termination,timestamp_utc
h2o_opt_freq,h2o,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setA/calc/h2o_opt_freq.inp,43687e9304fe45e29ac9bc69249bfa1f8f63cc2fbb0cf4f2190a47bc942d9fe4,/workspace/results_setA/h2o_opt_freq.out,3d41de481fe0ce764dd03f91e5d6852da84a7dab128ae00646cf32c7ad653580,/root/orca_calc_setA/calc/h2o_opt_freq.xyz,55d392dc36010914930ae671f76f116386996585608d776450cf3304e168f2a2,/root/orca_calc_setA/calc/h2o_opt_freq.gbw,/root/orca_calc_setA/calc/h2o_opt_freq.hess,True,2026-04-27T19:12:41Z
h2o_smd_sp,h2o,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setA/calc/h2o_smd_sp.inp,d04d2d8c4c28e2b27ce3b8686b636afd455545aa3ea23137941055f6c7527735,/workspace/results_setA/h2o_smd_sp.out,e3e79f6a6544350e3982e0ac7f4e81677a723b7f92a51f0b0dc15934dbdda384,/root/orca_calc_setA/calc/h2o_smd_sp.xyz,,/root/orca_calc_setA/calc/h2o_smd_sp.gbw,/root/orca_calc_setA/calc/h2o_smd_sp.hess,True,2026-04-27T19:12:46Z
cui_h2o_opt_freq,cui_h2o,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setA/calc/cui_h2o_opt_freq.inp,1c77884d9330f3616562f213986ed9d429508a90f990ea5c046b0367fe2aef4a,/workspace/results_setA/cui_h2o_reopt1_opt_freq.out,f9ba8a6e9c35c13af91a3fac9ec1e296d3ac2c17cb71105194e8077295a11349,/root/orca_calc_setA/calc/cui_h2o_opt_freq.xyz,215603cf120db376771d9b6c7f95e00033cb87905a522012e27ed8ab54b588fc,/root/orca_calc_setA/calc/cui_h2o_opt_freq.gbw,/root/orca_calc_setA/calc/cui_h2o_opt_freq.hess,True,2026-04-27T19:23:18Z
cui_h2o_smd_sp,cui_h2o,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setA/calc/cui_h2o_smd_sp.inp,25f291f8f089b4e958ee16b02ec0c5f549c2804f8b768606979733c29f6531bb,/workspace/results_setA/cui_h2o_smd_sp.out,0f0892919b835484f384d3856070da858f12ddebb2146f88f8e5bda13266825e,/root/orca_calc_setA/calc/cui_h2o_smd_sp.xyz,,/root/orca_calc_setA/calc/cui_h2o_smd_sp.gbw,/root/orca_calc_setA/calc/cui_h2o_smd_sp.hess,True,2026-04-27T19:23:32Z
cui2_anion_opt_freq,cui2_anion,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,-1,1,/root/orca_calc_setA/calc/cui2_anion_opt_freq.inp,fd094377b94a821873f8efec8fc0f0879e7b44e62c0ba5bb6b0b795f84055f55,/workspace/results_setA/cui2_anion_opt_freq.out,bc20987add734253ac7a2c512493e646bd8a2d14bfc26e49da09ed9be91813c7,/root/orca_calc_setA/calc/cui2_anion_opt_freq.xyz,d2b992e749a018e6696c61f25fe87b49ae8a17d0a5f1b50a0575fe8823461f23,/root/orca_calc_setA/calc/cui2_anion_opt_freq.gbw,/root/orca_calc_setA/calc/cui2_anion_opt_freq.hess,True,2026-04-27T19:25:34Z
cui2_anion_smd_sp,cui2_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setA/calc/cui2_anion_smd_sp.inp,f68c650c8ae35a38edc50d0068eac31caf957fc689001fd2cddc28c2d03b7acf,/workspace/results_setA/cui2_anion_smd_sp.out,9f3d86bee0bcdcd7ae10315e4bf758a6a77296c779c21264a4deb7eb76153afc,/root/orca_calc_setA/calc/cui2_anion_smd_sp.xyz,,/root/orca_calc_setA/calc/cui2_anion_smd_sp.gbw,/root/orca_calc_setA/calc/cui2_anion_smd_sp.hess,True,2026-04-27T19:25:50Z
cui2_h2o_anion_smd_sp,cui2_h2o_anion,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,-1,1,/root/orca_calc_setA/calc/cui2_h2o_anion_smd_sp.inp,81784071806fd0690c47259586ce52fc36d0c8e5132926605dba44505d7ded52,/workspace/results_setA/cui2_h2o_anion_smd_sp.out,6c9af1de9307a89bbc02dc829313fe0373b7cb5525f9860150aacde849418656,/root/orca_calc_setA/calc/cui2_h2o_anion_smd_sp.xyz,,/root/orca_calc_setA/calc/cui2_h2o_anion_smd_sp.gbw,/root/orca_calc_setA/calc/cui2_h2o_anion_smd_sp.hess,True,2026-04-27T19:37:47Z
cu2i2_rhombic_opt_freq,cu2i2_rhombic,opt_freq,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt DefGrid3 Opt Freq,0,1,/root/orca_calc_setA/calc/cu2i2_rhombic_opt_freq.inp,0c19159da987ba82d8e79c966afe38394cf140b131d587f2eed06127734fc77a,/workspace/results_setA/cu2i2_rhombic_opt_freq.out,87472654d5c10b8043ca21d6a45451e859ff4cd702d3b86e7b044a50196c1a8e,/root/orca_calc_setA/calc/cu2i2_rhombic_opt_freq.xyz,364ccd9a4b5e3f1d8bf785f2be831ad52bc8e7254d3eceaaa2b57ae24af7536b,/root/orca_calc_setA/calc/cu2i2_rhombic_opt_freq.gbw,/root/orca_calc_setA/calc/cu2i2_rhombic_opt_freq.hess,True,2026-04-27T19:43:19Z
cu2i2_rhombic_smd_sp,cu2i2_rhombic,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setA/calc/cu2i2_rhombic_smd_sp.inp,7d9fd5f6b480a50aa4f090d07ad7c9b3980f41cc61fec07b8cc4428b7dd1641a,/workspace/results_setA/cu2i2_rhombic_smd_sp.out,bd0c3bcd91c025a1ff6ca53ec4068ee7ed4e459d6d9e5095fa73f5a2317914b3,/root/orca_calc_setA/calc/cu2i2_rhombic_smd_sp.xyz,,/root/orca_calc_setA/calc/cu2i2_rhombic_smd_sp.gbw,/root/orca_calc_setA/calc/cu2i2_rhombic_smd_sp.hess,True,2026-04-27T19:43:45Z
cu2i2_h2o_smd_sp,cu2i2_h2o,smd_sp,6.1.1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 SP,0,1,/root/orca_calc_setA/calc/cu2i2_h2o_smd_sp.inp,b8fce2ad5023ceea2aef325248b0c90ebd80aab086eb44d6b9b3b9d06bff31f9,/workspace/results_setA/cu2i2_h2o_smd_sp.out,55af211ce3e065de3b45d8f3f410d25faa3ed4f6c5269e5f00572680354a3093,/root/orca_calc_setA/calc/cu2i2_h2o_smd_sp.xyz,,/root/orca_calc_setA/calc/cu2i2_h2o_smd_sp.gbw,/root/orca_calc_setA/calc/cu2i2_h2o_smd_sp.hess,True,2026-04-27T20:27:34Z
