phase,complex_id,ligand_id,cu_id,E_complex_Eh,E_ligand_Eh,E_cu_Eh,BE_kcal_mol,source_complex,source_ligand,source_cu
gas,cu_methanol,methanol,cu_ion,-1755.922984539419,-115.71268832755,-1640.134600256611,-47.499929067856364,/home/runner/workspace/results_pod/results/cu_methanol_opt_freq.out,/home/runner/workspace/results_pod/results/methanol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_phenol_O,phenol,cu_ion,-1947.599449856203,-307.382866914125,-1640.134600256611,-51.444911834351096,/home/runner/workspace/results_pod/results/cu_phenol_O_opt_freq.out,/home/runner/workspace/results_pod/results/phenol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_phenol_pi,phenol,cu_ion,-1947.646484271142,-307.382866914125,-1640.134600256611,-80.95945281286517,/home/runner/workspace/results_pod/results/cu_phenol_pi_opt_freq.out,/home/runner/workspace/results_pod/results/phenol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_guaiacol_phenolicO,guaiacol,cu_ion,-2062.128411262091,-421.948365866302,-1640.134600256611,-28.51725538138099,/home/runner/workspace/results_pod/results/cu_guaiacol_phenolicO_opt_freq.out,/home/runner/workspace/results_pod/results/guaiacol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_guaiacol_methoxyO,guaiacol,cu_ion,-2062.169790442033,-421.948365866302,-1640.134600256611,-54.48308282129999,/home/runner/workspace/results_pod/results/cu_guaiacol_methoxyO_opt_freq.out,/home/runner/workspace/results_pod/results/guaiacol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_guaiacol_pi,guaiacol,cu_ion,-2062.182033289651,-421.948365866302,-1640.134600256611,-62.16558569028726,/home/runner/workspace/results_pod/results/cu_guaiacol_pi_opt_freq.out,/home/runner/workspace/results_pod/results/guaiacol_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_galacturonateH_complex,galacturonate_neutral,cu_ion,-1944.500415650486,-304.285968844158,-1640.134600256611,-50.10446641355191,/home/runner/workspace/results_pod/results/cu_galacturonateH_complex_opt_freq.out,/home/runner/workspace/results_pod/results/galacturonate_neutral_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_galacturonate_anion_complex,galacturonate_anion,cu_ion,-1944.153781028924,-303.723252272561,-1640.134600256611,-185.6979372209118,/home/runner/workspace/results_pod/results/cu_galacturonate_anion_complex_opt_freq.out,/home/runner/workspace/results_pod/results/galacturonate_anion_opt_freq.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_benzene_pi,benzene,cu_ion,-1872.4236474102,-232.202290813244,-1640.134600256611,-54.44042549598766,/home/runner/workspace/results/tier_a/cu_benzene_pi.out,/home/runner/workspace/results/tier_a/benzene.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_anisole_pi,anisole,cu_ion,-1986.950126134658,-346.719674972887,-1640.134600256611,-60.147351079218765,/home/runner/workspace/results/tier_a/cu_anisole_pi_freq.out,/home/runner/workspace/results/tier_a/anisole.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_anisole_methoxyO,anisole,cu_ion,-1986.932016609288,-346.719674972887,-1640.134600256611,-48.78345234008273,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO.out,/home/runner/workspace/results/tier_a/anisole.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_catechol_pi,catechol,cu_ion,-2022.887370861674,-382.657500932119,-1640.134600256611,-59.78262235733016,/home/runner/workspace/results/tier_a/cu_catechol_pi.out,/home/runner/workspace/results/tier_a/catechol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_catechol_bidentate,catechol,cu_ion,-2022.845350963277,-382.657500932119,-1640.134600256611,-33.414738016676765,/home/runner/workspace/results/tier_a/cu_catechol_bidentate.out,/home/runner/workspace/results/tier_a/catechol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_cyclohexanol_O,cyclohexanol,cu_ion,-1951.268681295893,-311.041444019796,-1640.134600256611,-58.130607370519755,/home/runner/workspace/results/tier_a/cu_cyclohexanol_O.out,/home/runner/workspace/results/tier_a/cyclohexanol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_meta_methoxyphenol_pi,meta_methoxyphenol,cu_ion,-2062.181939248162,-421.946681656249,-1640.134600256611,-63.16343152960156,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_pi_freq.out,/home/runner/workspace/results/tier_a/meta_methoxyphenol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_meta_methoxyphenol_phenolicO,meta_methoxyphenol,cu_ion,-2062.100968129885,-421.946681656249,-1640.134600256611,-12.353287690459327,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_phenolicO.out,/home/runner/workspace/results/tier_a/meta_methoxyphenol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_para_methoxyphenol_pi,para_methoxyphenol,cu_ion,-2062.171498453095,-421.944151122207,-1640.134600256611,-58.19966779444747,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_pi.out,/home/runner/workspace/results/tier_a/para_methoxyphenol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
gas,cu_para_methoxyphenol_phenolicO,para_methoxyphenol,cu_ion,-2062.157861290545,-421.944151122207,-1640.134600256611,-49.64221909589949,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_phenolicO.out,/home/runner/workspace/results/tier_a/para_methoxyphenol.out,/home/runner/workspace/results_pod/results/cu_ion_sp.out
