stem,species_id,terminated_normally,n_imaginary,imaginary_freqs_cm-1,zpe_Eh,enthalpy_Eh,assessment,note,disp_plus_n_imag,disp_minus_n_imag,displacement_reopt_verdict
anisole,anisole,True,0,,0.13262533,-346.57922622,TRUE_MINIMUM,No imaginary frequencies,,,
anisole_smd,anisole,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
benzene,benzene,True,0,,0.10015405,-232.09678726,TRUE_MINIMUM,No imaginary frequencies,,,
benzene_smd,benzene,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
catechol,catechol,True,0,,0.10834656,-382.54141279,TRUE_MINIMUM,No imaginary frequencies,,,
catechol_smd,catechol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu2i2_linear_opt_freq,cu2i2_linear,True,2,-66.63|-66.63,0.00148398,-3876.44959439,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cu2i2_linear_opt_freq_atom53,cu2i2_linear_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu2i2_rhombic_opt_freq,cu2i2_rhombic,True,0,,0.00193649,-3876.50478828,TRUE_MINIMUM,No imaginary frequencies,,,
cu2i2_rhombic_opt_freq_atom53,cu2i2_rhombic_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu2i2_rhombic_tzvpp_sp,cu2i2_rhombic_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu2i2_rhombic_tzvpp_sp_atom53,cu2i2_rhombic_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_anisole_methoxyO,cu_anisole_methoxyO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,True,1,-37.81,0.13318114,-1986.78966079,SADDLE_POINT,1 imaginary mode at -37.81 cm**-1,,,DISPLACEMENT_NOT_YET_RUN
cu_anisole_methoxyO_smd,cu_anisole_methoxyO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_anisole_pi,cu_anisole_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_anisole_pi_freq,cu_anisole_pi,True,0,,0.13398463,-1986.80627884,TRUE_MINIMUM,No imaginary frequencies,,,
cu_anisole_pi_smd,cu_anisole_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_benzene_pi,cu_benzene_pi,True,2,-28.75|-28.05,0.1009064,-1872.31683343,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cu_benzene_pi_smd,cu_benzene_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_catechol_bidentate,cu_catechol_bidentate,True,2,-479.79|-71.12,0.10800649,-2022.72858141,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cu_catechol_bidentate_smd,cu_catechol_bidentate,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_catechol_bidentate_v2,cu_catechol_bidentate_v2,True,2,-479.79|-71.12,0.10800649,-2022.72858141,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cu_catechol_pi,cu_catechol_pi,True,0,,0.10995299,-2022.76792372,TRUE_MINIMUM,No imaginary frequencies,,,
cu_catechol_pi_smd,cu_catechol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_catechol_pi_v2,cu_catechol_pi_v2,True,0,,0.10995299,-2022.76792372,TRUE_MINIMUM,No imaginary frequencies,,,
cu_cyclohexanol_O,cu_cyclohexanol_O,True,0,,0.17524349,-1951.08371745,TRUE_MINIMUM,No imaginary frequencies,,,
cu_cyclohexanol_O_smd,cu_cyclohexanol_O,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_galacturonateH_complex_opt_freq,cu_galacturonateH_complex,True,0,,0.06730462,-1944.42460005,TRUE_MINIMUM,No imaginary frequencies,,,
cu_galacturonateH_complex_smd_sp,cu_galacturonateH_complex,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_galacturonate_anion_complex_opt_freq,cu_galacturonate_anion_complex,True,0,,0.05512283,-1944.09060066,TRUE_MINIMUM,No imaginary frequencies,,,
cu_galacturonate_anion_complex_smd_sp,cu_galacturonate_anion_complex,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_methoxyO_opt_freq,cu_guaiacol_methoxyO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_methoxyO_smd_sp,cu_guaiacol_methoxyO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_phenolicO_opt_freq,cu_guaiacol_phenolicO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_phenolicO_smd_sp,cu_guaiacol_phenolicO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_pi_opt_freq,cu_guaiacol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_guaiacol_pi_smd_sp,cu_guaiacol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_ion_cu2plus,cu_ion_cu2plus,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_ion_smd_sp,cu_ion,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_ion_sp,cu_ion,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
