species_id,n_atoms,n_opt_cycles,converged,final_energy_Eh,charge,mult,method_line,basis,final_xyz
anisole,16,14,True,-346.719674972887,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,-0.027875,1.337063,-0.000000;C,1.209116,0.716012,0.000003;C,1.304398,-0.674694,0.000002;C,0.142779,-1.431641,-0.000002;C,-1.110087,-0.821618,-0.000006;C,-1.195510,0.569781,-0.000008;O,-2.364923,1.268055,-0.000020;C,-3.581266,0.541655,0.000001;H,-0.117738,2.415337,0.000001;H,2.107265,1.320800,0.000008;H,2.272730,-1.157109,0.000008;H,0.200430,-2.512974,-0.000001;H,-1.999872,-1.433500,-0.000007;H,-3.672152,-0.085579,0.892093;H,-3.672182,-0.085589,-0.892080;H,-4.375112,1.285002,0.000008"
benzene,12,3,True,-232.202290813244,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.000000,1.390808,0.000001;C,1.204477,0.695401,0.000000;C,1.204478,-0.695402,-0.000000;C,0.000000,-1.390809,0.000000;C,-1.204477,-0.695401,0.000000;C,-1.204478,0.695402,-0.000000;H,0.000001,2.473580,-0.000001;H,2.142107,1.236948,0.000001;H,2.142108,-1.236947,-0.000002;H,-0.000000,-2.473581,0.000001;H,-2.142108,-1.236948,0.000000;H,-2.142108,1.236947,-0.000001"
catechol,14,8,True,-382.657500932119,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.003758,1.382752,-0.000001;C,1.208077,0.671026,-0.000001;C,1.204179,-0.714039,-0.000002;C,-0.004824,-1.405475,0.000002;C,-1.201568,-0.701737,-0.000001;C,-1.197341,0.689920,0.000001;O,0.004459,2.744537,-0.000000;H,0.922566,3.046556,0.000001;O,2.348482,1.441288,-0.000004;H,3.128400,0.876893,0.000005;H,2.145972,-1.252319,-0.000002;H,-0.003455,-2.487100,0.000002;H,-2.144331,-1.232478,-0.000002;H,-2.119376,1.256175,0.000001"
cu2i2_linear,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu2i2_linear_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu2i2_rhombic,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu2i2_rhombic_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu2i2_rhombic_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu2i2_rhombic_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu_anisole_methoxyO,17,51,True,-1986.932016609288,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-2.604616,2.962598,-0.009750;C,-0.258565,1.315772,0.016999;C,1.038110,0.825850,0.004239;C,1.252361,-0.549551,-0.011808;C,0.167776,-1.415043,-0.011190;C,-1.138948,-0.932433,-0.002643;C,-1.330491,0.437570,0.010003;O,-2.610054,1.028642,-0.000255;C,-3.775051,0.163895,0.010108;H,-0.419657,2.398740,0.033049;H,1.875993,1.509236,0.006197;H,2.260216,-0.940293,-0.023348;H,0.330017,-2.484578,-0.022118;H,-1.965271,-1.625034,-0.006543;H,-3.806530,-0.392044,0.944032;H,-3.727068,-0.498802,-0.856636;H,-4.648220,0.796475,-0.080335"
cu_anisole_pi,17,0,True,-1986.950126134658,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF Freq,def2-TZVP,"Cu,1.311829,-0.558273,2.158723;C,-0.120155,1.385633,0.021927;C,1.122592,0.793798,0.060238;C,1.249789,-0.626989,0.120978;C,0.061473,-1.407460,0.126288;C,-1.184767,-0.805188,0.081223;C,-1.287307,0.596643,0.013976;O,-2.431372,1.262695,-0.053705;C,-3.677933,0.554082,-0.135492;H,-0.227176,2.460557,-0.029932;H,2.015849,1.401794,-0.003298;H,2.207384,-1.094328,-0.085375;H,0.132700,-2.487502,0.119207;H,-2.070799,-1.423270,0.076586;H,-3.843471,-0.037222,0.766559;H,-3.697190,-0.084485,-1.019822;H,-4.441447,1.320514,-0.218080"
cu_benzene_pi,13,11,True,-1872.4236474102,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-0.000030,-0.000018,1.953826;C,0.000004,1.406636,0.009595;C,1.218158,0.703307,0.009770;C,1.218162,-0.703306,0.009786;C,-0.000001,-1.406621,0.009550;C,-1.218162,-0.703309,0.009680;C,-1.218146,0.703302,0.009763;H,0.000005,2.488174,-0.002431;H,2.154773,1.244159,-0.001889;H,2.154779,-1.244154,-0.001774;H,-0.000001,-2.488163,-0.002304;H,-2.154776,-1.244160,-0.001914;H,-2.154765,1.244152,-0.001658"
cu_catechol_bidentate,15,32,True,-2022.845350963277,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,2.921684,3.275535,0.000017;C,-0.099095,1.391063,-0.000000;C,1.112765,0.714465,-0.000002;C,1.183025,-0.668128,0.000004;C,0.013636,-1.410972,0.000005;C,-1.212527,-0.753022,-0.000002;C,-1.265778,0.629871,-0.000002;O,-0.256098,2.749427,-0.000003;H,0.578490,3.226697,0.000011;O,2.353296,1.436745,-0.000012;H,3.066992,0.783576,-0.000024;H,2.147096,-1.166461,0.000008;H,0.063953,-2.490323,0.000011;H,-2.132643,-1.320624,-0.000005;H,-2.209796,1.158151,-0.000005"
cu_catechol_pi,15,46,True,-2022.887370861674,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-0.677834,-1.037713,2.158076;C,0.061361,1.461616,-0.036032;C,1.275827,0.725536,-0.031368;C,1.264159,-0.652315,0.079006;C,0.039487,-1.343576,0.153770;C,-1.180366,-0.608541,0.131404;C,-1.150225,0.794408,0.058417;O,0.073506,2.792210,-0.128439;H,0.981187,3.119694,-0.224783;O,2.383033,1.488317,-0.131694;H,3.193151,0.966280,-0.195794;H,2.194688,-1.206302,0.067246;H,0.026417,-2.422108,0.056169;H,-2.123749,-1.130502,0.021439;H,-2.065642,1.368994,0.022583"
