species_id,role,mode_label,n_coordinated,Cu_O1_dist_Ang,Cu_O2_dist_Ang,O_Cu_O_angle_deg,Cu_centroid_dist_Ang,bidentate,coordinating_atoms,file_path,sha256_prefix
anisole,other,no-Cu,,,,,,,,/home/runner/workspace/results/tier_a/anisole.out,aad4a0d2e080d6c3…
benzene,other,no-Cu,,,,,,,,/home/runner/workspace/results/tier_a/benzene.out,3096e2f3b4b5870d…
catechol,other,no-Cu,,,,,,,,/home/runner/workspace/results/tier_a/catechol.out,114cf74d1b39614e…
cu2i2_linear,other,no-Cu,,,,,,,,,
cu2i2_linear_a53,other,no-Cu,,,,,,,,,
cu2i2_rhombic,other,no-Cu,,,,,,,,,
cu2i2_rhombic_a53,other,no-Cu,,,,,,,,,
cu2i2_rhombic_tzvpp,other,no-Cu,,,,,,,,,
cu2i2_rhombic_tzvpp_a53,other,no-Cu,,,,,,,,,
cu_anisole_methoxyO,complex,O-monodentate,1,1.934,,,,False,O(1.934Å),/home/runner/workspace/results/tier_a/cu_anisole_methoxyO.out,89592b6ace4bc73e…
cu_anisole_pi,complex,unknown,0,,,,,False,,/home/runner/workspace/results/tier_a/cu_anisole_pi_freq.out,326cb45681969f07…
cu_benzene_pi,complex,pi-complex,0,,,,1.9441,False,ring_centroid(1.944Å),/home/runner/workspace/results/tier_a/cu_benzene_pi.out,07b39c1e4110241b…
cu_catechol_bidentate,complex,O-monodentate,1,1.9246,,,,False,O(1.925Å),/home/runner/workspace/results/tier_a/cu_catechol_bidentate.out,796e3aa33da50d3b…
cu_catechol_pi,complex,pi-complex,0,,,,2.4797,False,ring_centroid(2.480Å),/home/runner/workspace/results/tier_a/cu_catechol_pi.out,e2b8883d2956bf53…
cu_cyclohexanol_O,complex,O-monodentate,1,1.9494,,,,False,O(1.949Å),/home/runner/workspace/results/tier_a/cu_cyclohexanol_O.out,0d2cc0978d69d7db…
cu_galacturonateH_complex,complex,O-monodentate,1,1.8836,,,,False,O(1.884Å),/home/runner/workspace/results_pod/results/cu_galacturonateH_complex_opt_freq.out,aa22d6f4e5218a19…
cu_galacturonate_anion_complex,complex,"O,O-bidentate",2,2.083,2.093,64.11,,True,O(2.083Å)|O(2.093Å),/home/runner/workspace/results_pod/results/cu_galacturonate_anion_complex_opt_freq.out,6f5fd1ec8ef5e7e0…
cu_guaiacol_methoxyO,complex,"O,O-bidentate",2,2.0075,2.0865,78.04,,True,O(2.007Å)|O(2.087Å),/home/runner/workspace/results_pod/results/cu_guaiacol_methoxyO_opt_freq.out,91f76a3a6d7dcb99…
cu_guaiacol_phenolicO,complex,unknown,0,,,,,False,,/home/runner/workspace/results_pod/results/cu_guaiacol_phenolicO_opt_freq.out,892d4df2384e6aa9…
cu_guaiacol_pi,complex,pi-complex,0,,,,2.4743,False,ring_centroid(2.474Å),/home/runner/workspace/results_pod/results/cu_guaiacol_pi_opt_freq.out,c8fafd3d3235d5b5…
cu_ion,other,unknown,0,,,,,False,,/home/runner/workspace/results_pod/results/cu_ion_sp.out,09f24ee49f90fdbb…
cu_ion_cu2plus,other,no-Cu,,,,,,,,,
cu_meta_methoxyphenol_phenolicO,complex,O-monodentate,1,2.0,,,,False,O(2.000Å),/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_phenolicO.out,c353057f79530965…
cu_meta_methoxyphenol_pi,complex,unknown,0,,,,,False,,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_pi_freq.out,3872227593de60f8…
cu_methanol,complex,O-monodentate,1,1.9248,,,,False,O(1.925Å),/home/runner/workspace/results_pod/results/cu_methanol_opt_freq.out,202a2399e1ac8daf…
cu_para_methoxyphenol_phenolicO,complex,O-monodentate,1,1.923,,,,False,O(1.923Å),/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_phenolicO.out,8ec7aba4154095ca…
cu_para_methoxyphenol_pi,complex,pi-complex,0,,,,2.4902,False,ring_centroid(2.490Å),/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_pi.out,754f30e146b26984…
cu_phenol_O,complex,unknown,0,,,,,False,,/home/runner/workspace/results_pod/results/cu_phenol_O_opt_freq.out,02a6366b4ca09003…
cu_phenol_pi,complex,pi-complex,0,,,,2.3886,False,ring_centroid(2.389Å),/home/runner/workspace/results_pod/results/cu_phenol_pi_opt_freq.out,03a02783002a998c…
cui_guaiacol_meO_a53,other,no-Cu,,,,,,,,,
cui_guaiacol_ph,other,no-Cu,,,,,,,,,
cui_guaiacol_ph_tzvpp,other,no-Cu,,,,,,,,,
cui_guaiacol_ph_tzvpp_a53,other,no-Cu,,,,,,,,,
cui_guaiacol_phenolicO_a53,other,no-Cu,,,,,,,,,
cui_methanol_O,other,no-Cu,,,,,,,,,
