stem,species_id,mode_number,freq_cm-1,is_imaginary
anisole,anisole,0,0.0,False
anisole,anisole,1,0.0,False
anisole,anisole,2,0.0,False
anisole,anisole,3,0.0,False
anisole,anisole,4,0.0,False
anisole,anisole,5,0.0,False
anisole,anisole,6,94.82,False
anisole,anisole,7,208.98,False
anisole,anisole,8,260.52,False
anisole,anisole,9,272.17,False
anisole,anisole,10,423.81,False
anisole,anisole,11,450.23,False
anisole,anisole,12,518.8,False
anisole,anisole,13,562.82,False
anisole,anisole,14,632.23,False
anisole,anisole,15,699.74,False
anisole,anisole,16,763.44,False
anisole,anisole,17,803.03,False
anisole,anisole,18,827.42,False
anisole,anisole,19,895.97,False
anisole,anisole,20,949.28,False
anisole,anisole,21,959.84,False
anisole,anisole,22,1017.5,False
anisole,anisole,23,1046.21,False
anisole,anisole,24,1071.2,False
anisole,anisole,25,1106.64,False
anisole,anisole,26,1173.2,False
anisole,anisole,27,1181.43,False
anisole,anisole,28,1198.19,False
anisole,anisole,29,1205.75,False
anisole,anisole,30,1279.39,False
anisole,anisole,31,1338.34,False
anisole,anisole,32,1362.84,False
anisole,anisole,33,1476.53,False
anisole,anisole,34,1492.34,False
anisole,anisole,35,1493.28,False
anisole,anisole,36,1507.58,False
anisole,anisole,37,1534.51,False
anisole,anisole,38,1628.27,False
anisole,anisole,39,1646.35,False
anisole,anisole,40,3004.21,False
anisole,anisole,41,3058.54,False
anisole,anisole,42,3131.31,False
anisole,anisole,43,3167.34,False
anisole,anisole,44,3174.39,False
anisole,anisole,45,3189.82,False
anisole,anisole,46,3196.78,False
anisole,anisole,47,3210.76,False
benzene,benzene,0,0.0,False
benzene,benzene,1,0.0,False
benzene,benzene,2,0.0,False
benzene,benzene,3,0.0,False
benzene,benzene,4,0.0,False
benzene,benzene,5,0.0,False
benzene,benzene,6,411.55,False
benzene,benzene,7,411.85,False
benzene,benzene,8,624.89,False
benzene,benzene,9,624.95,False
benzene,benzene,10,686.01,False
benzene,benzene,11,713.22,False
benzene,benzene,12,861.24,False
benzene,benzene,13,861.27,False
benzene,benzene,14,962.28,False
benzene,benzene,15,962.54,False
benzene,benzene,16,990.25,False
benzene,benzene,17,1018.14,False
benzene,benzene,18,1031.96,False
benzene,benzene,19,1062.11,False
benzene,benzene,20,1062.17,False
benzene,benzene,21,1177.53,False
benzene,benzene,22,1200.31,False
benzene,benzene,23,1200.41,False
benzene,benzene,24,1336.99,False
benzene,benzene,25,1388.55,False
benzene,benzene,26,1518.25,False
benzene,benzene,27,1518.31,False
benzene,benzene,28,1637.22,False
benzene,benzene,29,1637.34,False
benzene,benzene,30,3160.06,False
benzene,benzene,31,3169.41,False
benzene,benzene,32,3169.48,False
benzene,benzene,33,3184.72,False
benzene,benzene,34,3184.84,False
benzene,benzene,35,3194.69,False
catechol,catechol,0,0.0,False
catechol,catechol,1,0.0,False
catechol,catechol,2,0.0,False
catechol,catechol,3,0.0,False
catechol,catechol,4,0.0,False
catechol,catechol,5,0.0,False
catechol,catechol,6,187.13,False
catechol,catechol,7,214.75,False
catechol,catechol,8,294.56,False
catechol,catechol,9,311.23,False
catechol,catechol,10,424.88,False
catechol,catechol,11,450.31,False
catechol,catechol,12,458.1,False
catechol,catechol,13,560.24,False
catechol,catechol,14,567.35,False
catechol,catechol,15,593.65,False
catechol,catechol,16,708.85,False
catechol,catechol,17,746.55,False
catechol,catechol,18,783.91,False
catechol,catechol,19,834.66,False
catechol,catechol,20,866.07,False
catechol,catechol,21,902.19,False
catechol,catechol,22,931.78,False
catechol,catechol,23,1055.27,False
catechol,catechol,24,1111.21,False
catechol,catechol,25,1168.47,False
catechol,catechol,26,1180.21,False
catechol,catechol,27,1208.37,False
catechol,catechol,28,1271.06,False
catechol,catechol,29,1301.3,False
catechol,catechol,30,1362.83,False
catechol,catechol,31,1397.64,False
catechol,catechol,32,1510.05,False
catechol,catechol,33,1548.13,False
catechol,catechol,34,1649.78,False
catechol,catechol,35,1655.77,False
catechol,catechol,36,3152.74,False
catechol,catechol,37,3178.31,False
catechol,catechol,38,3191.17,False
catechol,catechol,39,3200.45,False
catechol,catechol,40,3762.96,False
catechol,catechol,41,3816.72,False
cu2i2_linear_opt_freq,cu2i2_linear,0,0.0,False
cu2i2_linear_opt_freq,cu2i2_linear,1,0.0,False
cu2i2_linear_opt_freq,cu2i2_linear,2,0.0,False
cu2i2_linear_opt_freq,cu2i2_linear,3,0.0,False
cu2i2_linear_opt_freq,cu2i2_linear,4,0.0,False
cu2i2_linear_opt_freq,cu2i2_linear,5,-66.63,True
cu2i2_linear_opt_freq,cu2i2_linear,6,-66.63,True
cu2i2_linear_opt_freq,cu2i2_linear,7,30.61,False
cu2i2_linear_opt_freq,cu2i2_linear,8,30.61,False
cu2i2_linear_opt_freq,cu2i2_linear,9,92.16,False
cu2i2_linear_opt_freq,cu2i2_linear,10,235.91,False
cu2i2_linear_opt_freq,cu2i2_linear,11,262.11,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,0,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,1,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,2,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,3,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,4,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,5,0.0,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,6,58.01,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,7,105.1,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,8,112.31,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,9,157.17,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,10,206.05,False
cu2i2_rhombic_opt_freq,cu2i2_rhombic,11,211.39,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,0,0.0,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,1,0.0,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,2,0.0,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,3,0.0,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,4,0.0,False
cu_anisole_methoxyO_freq,cu_anisole_methoxyO,5,0.0,False
