stem,file_path,sha256,file_size_bytes,terminated_normally,calc_type,method_line,functional,basis,n_procs,charge,mult,n_atoms,final_energy_Eh,zpe_Eh,enthalpy_Eh,n_imaginary,n_opt_cycles
anisole,/home/runner/workspace/results/tier_a/anisole.out,aad4a0d2e080d6c3f12879703706ff5a5a4867839c5528eee14d31b92466b7e9,646308,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,16,-346.719674972887,0.13262533,-346.57922622,0,14
anisole_smd,/home/runner/workspace/results_pod/results/anisole_smd.out,d970f8e767c8c6db7cbac01e8f0214d29dab008b600c243a84980620a9bd88ff,73353,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,0,1,16,-346.722414271535,,,0,0
benzene,/home/runner/workspace/results/tier_a/benzene.out,3096e2f3b4b5870db180d55dbb8dfbc01e5cc33a8552452443fe60e13b832854,222872,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,12,-232.202290813244,0.10015405,-232.09678726,0,3
benzene_smd,/home/runner/workspace/results_pod/results/benzene_smd.out,56b6bc0b07493f4be978169f4f42f2a3c8f385897b7ee9f8d5d85b14757274e4,68002,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,0,1,12,-232.203520456474,,,0,0
catechol,/home/runner/workspace/results/tier_a/catechol.out,114cf74d1b39614eea18dbe08071e2bb3c41c4a2c87c4a45c2a3069caa1081f4,408476,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,14,-382.657500932119,0.10834656,-382.54141279,0,8
catechol_smd,/home/runner/workspace/results/tier_a/catechol_smd.out,ecb4431b10c91254c48db24a0385352331cb064cd58a0b0dc7bb42ecee1682b7,71661,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,0,1,14,-382.669645863505,,,0,0
cu2i2_linear_opt_freq,/home/runner/workspace/results/tier_b/cu2i2_linear_opt_freq.out,e59f69ff954d2d686c36053654cdf80cf4e02bfdc70c2d5070fd6d1b74dbd5d5,409969,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,4,-3876.457861510816,0.00148398,-3876.44959439,2,12
cu2i2_linear_opt_freq_atom53,/home/runner/workspace/results/tier_b/cu2i2_linear_opt_freq_atom53.out,5d048d7171fd04c409178a6822ef4a1df40cea7e83e963914296d307bcfc5474,56283,True,,,,def2-SVP,,0,2,1,-296.652290555973,,,0,0
cu2i2_rhombic_opt_freq,/home/runner/workspace/results/tier_b/cu2i2_rhombic_opt_freq.out,e9a31db9b1bb1f8d42407654c4b862e9585a2f2b116cc94d51f261ad1e99f7db,340648,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,4,-3876.514481449549,0.00193649,-3876.50478828,0,9
cu2i2_rhombic_opt_freq_atom53,/home/runner/workspace/results/tier_b/cu2i2_rhombic_opt_freq_atom53.out,faf63d5f5a2c75463f2152f0b4d6ea4f5176083291073efb287ec06dff043c5c,56290,True,,,,def2-SVP,,0,2,1,-296.652290555973,,,0,0
cu2i2_rhombic_tzvpp_sp,/home/runner/workspace/results_pod/results_tzvpp/cu2i2_rhombic_tzvpp_sp.out,df13be05a50552ae8c2862d01092651b21e92593463049ead9588616e2b80bb8,61208,True,SP,! B3LYP D3BJ def2-TZVPP RIJCOSX def2/J TightSCF,B3LYP,def2-TZVPP,,0,1,4,-3876.516793532378,,,0,0
cu2i2_rhombic_tzvpp_sp_atom53,/home/runner/workspace/results_pod/results_tzvpp/cu2i2_rhombic_tzvpp_sp_atom53.out,62ba8c7b12592ae7ccfc0f1320e46053c264523ac03cd80e2033ed60fe222788,56473,True,,,,def2-SVP,,0,2,1,-296.652290555973,,,0,0
cu_anisole_methoxyO,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO.out,89592b6ace4bc73e7e2e231265cd9674fe49c07c67308572a460c386cf039dd1,2017226,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,1,1,17,-1986.932016609288,,,0,51
cu_anisole_methoxyO_freq,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO_freq.out,cc74becb937c7a39eff70f32678681d27eae9f38f0dfc0e6adab913347674ed0,130423,True,Freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF Freq,B3LYP,def2-TZVP,,1,1,17,-1986.932025225632,0.13318114,-1986.78966079,1,0
cu_anisole_methoxyO_smd,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO_smd.out,45722813ee448e58b5c1ac1bd61244e8009782dae7c26fe9551b60ed434ee602,76736,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP,B3LYP,def2-TZVP,,1,1,17,-1987.031747685019,,,0,0
cu_anisole_pi,/home/runner/workspace/results/tier_a/cu_anisole_pi.out,969df164a6bd579b819009375be6a82a45d3aa9cbc98e559b5f46dfccbc750de,2330196,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,1,1,17,-1986.950123632209,,,0,51
cu_anisole_pi_freq,/home/runner/workspace/results/tier_a/cu_anisole_pi_freq.out,326cb45681969f07e2d9a99c7a4da67d3506d886ace8e990be8020fae92c6391,130219,True,Freq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF Freq,B3LYP,def2-TZVP,,1,1,17,-1986.950126134658,0.13398463,-1986.80627884,0,0
cu_anisole_pi_smd,/home/runner/workspace/results/tier_a/cu_anisole_pi_smd.out,79721096d6fa016e6e773b0360dc1d07c4a8f4e3b74db9e7da1ad1f087895818,76485,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,1,1,17,-1987.042745057443,,,0,0
