species_id,cluster,ligand,final_mode,BE_gas_kcal,BE_smd_kcal,Cu_O_top_A,Cu_C_top_A,Cu_I_top_A,Cu_centroid_A,I_Cu_I_angle_deg,n_imag,lowest_freq_cm1,n_atoms,raw_out_path,sha256,true_minimum,notes
cu_methanol,Cu+ (naked),methanol,see CLAIM_SUPPORT/MECH_VERDICT,-47.50,-23.63,1.925,3.056,,,,0,,,,,yes,Tier A naked-Cu+
cu_phenol_O,Cu+ (naked),phenol_O,see CLAIM_SUPPORT/MECH_VERDICT,-51.44,-36.39,2.664,,,4.704,,0,,,,,yes,Tier A naked-Cu+
cu_phenol_pi,Cu+ (naked),phenol_pi,see CLAIM_SUPPORT/MECH_VERDICT,-80.96,-52.20,4.444,2.072;2.442;2.446,,2.389,,0,,,,,yes,Tier A naked-Cu+
cu_guaiacol_phenolicO,Cu+ (naked),guaiacol_phenolicO,see CLAIM_SUPPORT/MECH_VERDICT,-28.52,-8.00,2.536;4.141,,,4.289,,0,,,,,yes,Tier A naked-Cu+
cu_guaiacol_methoxyO,Cu+ (naked),guaiacol_methoxyO,see CLAIM_SUPPORT/MECH_VERDICT,-54.48,-20.94,2.007;2.087,2.916;2.946;2.997,,3.429,,0,,,,,yes,Tier A naked-Cu+
cu_guaiacol_pi,Cu+ (naked),guaiacol_pi,see CLAIM_SUPPORT/MECH_VERDICT,-62.17,-28.48,4.470;4.596,2.105;2.187;2.771,,2.474,,0,,,,,yes,Tier A naked-Cu+
cu_galacturonateH_complex,Cu+ (naked),galacturonateH_complex,see CLAIM_SUPPORT/MECH_VERDICT,-50.10,-22.73,1.884;3.556;5.364,3.000,,,,0,,,,,yes,Tier A naked-Cu+
cu_galacturonate_anion_complex,Cu+ (naked),galacturonate_anion_complex,see CLAIM_SUPPORT/MECH_VERDICT,-185.70,-37.91,2.083;2.093;4.630,2.377,,,,0,,,,,yes,Tier A naked-Cu+
cu_anisole_pi,Cu+ (naked),anisole_pi,see CLAIM_SUPPORT/MECH_VERDICT,-60.15,-27.44,4.714,2.040;2.504;2.533,,2.540,,0,,17,/home/runner/workspace/results/tier_a/cu_anisole_pi.out,969df164a6bd579b819009375be6a82a45d3aa9cbc98e559b5f46dfccbc750de,yes,Tier A naked-Cu+
cu_anisole_methoxyO,Cu+ (naked),anisole_methoxyO,see CLAIM_SUPPORT/MECH_VERDICT,-48.78,-20.54,1.934,2.828;2.866;3.034,,3.370,,0,,17,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO.out,89592b6ace4bc73e7e2e231265cd9674fe49c07c67308572a460c386cf039dd1,yes,Tier A naked-Cu+
